0,PADDING
1,.
2,","
3,I
4,you
5,the
6, 
7,to
8,a
9,'s
10,n't
11,...
12,it
13,of
14,do
15,and
16,that
17,in
18,me
19,?
20,is
21,You
22,for
23,have
24,know
25,was
26,be
27,your
28,this
29,on
30,-
31,my
32,we
33,!
34,--
35,with
36,not
37,'re
38,he
39,what
40,'m
41,What
42,are
43,It
44,like
45,about
46,all
47,just
48,get
49,out
50,got
51,did
52,up
53,him
54,'ll
55,here
56,want
57,they
58,can
59,think
60,at
61,there
62,one
63,'
64,And
65,but
66,He
67,if
68,The
69,That
70,going
71,so
72,go
73,'ve
74,We
75,her
76,right
77,no
78,But
79,""""
80,would
81,see
82,as
83,she
84,his
85,could
86,were
87,an
88,No
89,from
90,been
91,>
92,time
93,ca
94,now
95,or
96,some
97,back
98,will
99,them
100,had
101,tell
102,'d
103,us
104,good
105,Oh
106,Well
107,man
108,How
109,say
110,when
111,who
112,how
113,never
114,They
115,take
116,something
117,way
118,come
119,Do
120,I'm
121,too
122,mean
123,make
124,So
125,little
126,na
127,gon
128,down
129,more
130,She
131,thing
132,does
133,This
134,said
135,over
136,need
137,should
138,If
139,really
140,any
141,off
142,has
143,Why
144,our
145,by
146,people
147,only
148,A
149,look
150,then
151,much
152,let
153,very
154,two
155,There
156,Yeah
157,where
158,<
159,why
160,am
161,talk
162,thought
163,into
164,anything
165,love
166,give
167,sure
168,even
169,Mr.
170,u
171,Now
172,ever
173,....
174,find
175,than
176,around
177,other
178,life
179,told
180,Where
181,still
182,work
183,Yes
184,things
185,call
186,must
187,You're
188,before
189,night
190,sorry
191,better
192,doing
193,Is
194,guy
195,money
196,Just
197,always
198,wo
199,long
200,last
201,My
202,well
203,believe
204,years
205,help
206,these
207,day
208,first
209,Let
210,their
211,away
212,Not
213,old
214,God
215,place
216,put
217,Who
218,those
219,feel
220,Are
221,nothing
222,because
223,sir
224,Then
225,All
226,Did
227,kind
228,after
229,Maybe
230,again
231,keep
232,lot
233,home
234,name
235,course
236,made
237,Okay
238,Don't
239,shit
240,Hey
241,bad
242,Look
243,big
244,ta
245,might
246,talking
247,hell
248,kill
249,everything
250,great
251,wanted
252,understand
253,guess
254,through
255,dead
256,girl
257,hear
258,own
259,Your
260,enough
261,real
262,yourself
263,ask
264,three
265,When
266,else
267,ai
268,Good
269,maybe
270,fucking
271,leave
272,getting
273,done
274,came
275,okay
276,remember
277,Come
278,:
279,every
280,left
281,another
282,wrong
283,mind
284,care
285,saw
286,;
287,job
288,being
289,knew
290,world
291,In
292,trying
293,someone
294,whole
295,I'll
296,fuck
297,happened
298,nice
299,went
300,house
301,new
302,looking
303,father
304,seen
305,guys
306,heard
307,car
308,five
309,friend
310,stay
311,room
312,same
313,coming
314,best
315,show
316,try
317,used
318,fine
319,Can
320,stop
321,boy
322,found
323,killed
324,live
325,mother
326,yes
327,idea
